                                                             cve-2010-5278, cve-2015-9481, cve-2015-9482, cve-2017-1002201, cve-2018-1000877, cve-2018-1000878, cve-2018-1000879, cve-2018-1000880, cve-2018-1002204, cve-2018-19052, cve-2018-20685, cve-2018-5732, cve-2019-0065, cve-2019-0071, cve-2019-10923, cve-2019-10936, cve-2019-13411, cve-2019-13412, cve-2019-13929, cve-2019-14657, cve-2019-14810, cve-2019-15064, cve-2019-15065, cve-2019-15066, cve-2019-16925, cve-2019-16926, cve-2019-17115, cve-2019-17264, cve-2019-17449, cve-2019-17501, cve-2019-17507, cve-2019-17526, cve-2019-17543, cve-2019-17544, cve-2019-17629, cve-2019-17630, cve-2019-17664, cve-2019-18216, cve-2019-2934, cve-2019-2936, cve-2019-2937, cve-2019-2961, cve-2019-2965, cve-2019-8064, cve-2019-8160, cve-2019-8161, cve-2019-8162, cve-2019-8163, cve-2019-8164, cve-2019-8165, cve-2019-8166, cve-2019-8167, cve-2019-8168, cve-2019-8169, cve-2019-8170, cve-2019-8171, cve-2019-8172, cve-2019-8173, cve-2019-8174, cve-2019-8175, cve-2019-8176, cve-2019-8177, cve-2019-8178, cve-2019-8179, cve-2019-8180, cve-2019-8181, cve-2019-8182, cve-2019-8183, cve-2019-8184, cve-2019-8185, cve-2019-8186, cve-2019-8187, cve-2019-8188, cve-2019-8189, cve-2019-8190, cve-2019-8191, cve-2019-8192, cve-2019-8193, cve-2019-8194, cve-2019-8195, cve-2019-8196, cve-2019-8197, cve-2019-8198, cve-2019-8199, cve-2019-8200, cve-2019-8201, cve-2019-8202, cve-2019-8203, cve-2019-8204, cve-2019-8205, cve-2019-8206, cve-2019-8207, cve-2019-8208, cve-2019-8209, cve-2019-8210, cve-2019-8211, cve-2019-8212, cve-2019-8213, cve-2019-8214, cve-2019-8215, cve-2019-8216, cve-2019-8217, cve-2019-8218, cve-2019-8219, cve-2019-8220, cve-2019-8221, cve-2019-8222, cve-2019-8223, cve-2019-8224, cve-2019-8225, cve-2019-8226, cve-2019-8369, cve-2019-8370
inject                                                       cve-2005-0758, cve-2011-4333, cve-2014-2311, cve-2014-2736, cve-2014-8774, cve-2014-8992, cve-2015-1981, cve-2015-4707, cve-2015-9457, cve-2015-9460, cve-2015-9462, cve-2015-9465, cve-2015-9466, cve-2015-9496, cve-2016-6800, cve-2017-14141, cve-2018-19518, cve-2018-9062, cve-2019-10475, cve-2019-10752, cve-2019-10756, cve-2019-10757, cve-2019-11282, cve-2019-11526, cve-2019-11527, cve-2019-12147, cve-2019-12148, cve-2019-13409, cve-2019-14845, cve-2019-15051, cve-2019-15274, cve-2019-15281, cve-2019-15715, cve-2019-15894, cve-2019-16282, cve-2019-16330, cve-2019-16344, cve-2019-16404, cve-2019-16682, cve-2019-16917, cve-2019-16964, cve-2019-16965, cve-2019-16980, cve-2019-17059, cve-2019-17114, cve-2019-17115, cve-2019-17116, cve-2019-17117, cve-2019-17119, cve-2019-17120, cve-2019-17207, cve-2019-17223, cve-2019-17495, cve-2019-17504, cve-2019-17508, cve-2019-17526, cve-2019-17552, cve-2019-17553, cve-2019-17580, cve-2019-17602, cve-2019-17612, cve-2019-17660, cve-2019-17663, cve-2019-17667, cve-2019-17672, cve-2019-18203, cve-2019-18219, cve-2019-18344, cve-2019-18348, cve-2019-18370, cve-2019-3652
innodb                                                       cve-2019-2938, cve-2019-2963, cve-2019-2968, cve-2019-3003, cve-2019-3018
input                                                        cve-2010-5334, cve-2010-5335, cve-2015-4645, cve-2015-4646, cve-2016-6800, cve-2017-1002201, cve-2018-1000880, cve-2018-19518, cve-2018-4277, cve-2019-0070, cve-2019-0368, cve-2019-10082, cve-2019-10715, cve-2019-11253, cve-2019-11281, cve-2019-1230, cve-2019-12402, cve-2019-12637, cve-2019-12638, cve-2019-12702, cve-2019-12703, cve-2019-12704, cve-2019-12705, cve-2019-12718, cve-2019-12941, cve-2019-13392, cve-2019-13541, cve-2019-1372, cve-2019-15240, cve-2019-15241, cve-2019-15242, cve-2019-15243, cve-2019-15244, cve-2019-15245, cve-2019-15246, cve-2019-15247, cve-2019-15248, cve-2019-15249, cve-2019-15250, cve-2019-15251, cve-2019-15252, cve-2019-15266, cve-2019-15268, cve-2019-15269, cve-2019-15270, cve-2019-15273, cve-2019-15274, cve-2019-15275, cve-2019-15277, cve-2019-15280, cve-2019-15281, cve-2019-16282, cve-2019-16330, cve-2019-16682, cve-2019-16699, cve-2019-16964, cve-2019-16965, cve-2019-17495, cve-2019-17543, cve-2019-17592, cve-2019-18219
insecur                                                      cve-2019-0073, cve-2019-14226, cve-2019-14737, cve-2019-8071, cve-2019-9745
insert                                                       cve-2018-3300, cve-2019-15280, cve-2019-16404, cve-2019-16521, cve-2019-16523, cve-2019-2734, cve-2019-2765, cve-2019-2872, cve-2019-2883, cve-2019-2886, cve-2019-2889, cve-2019-2897, cve-2019-2901, cve-2019-2902, cve-2019-2903, cve-2019-2906, cve-2019-2907, cve-2019-2915, cve-2019-2925, cve-2019-2929, cve-2019-2930, cve-2019-2931, cve-2019-2940, cve-2019-2941, cve-2019-2942, cve-2019-2944, cve-2019-2947, cve-2019-2952, cve-2019-2953, cve-2019-2954, cve-2019-2955, cve-2019-2961, cve-2019-2970, cve-2019-2971, cve-2019-2972, cve-2019-2975, cve-2019-2985, cve-2019-2990, cve-2019-2991, cve-2019-2994, cve-2019-2995, cve-2019-2996, cve-2019-2999, cve-2019-3000, cve-2019-3014, cve-2019-3019, cve-2019-3022, cve-2019-3023, cve-2019-3024, cve-2019-6475
insid                                                        cve-2019-1002101, cve-2019-12402
inspector                                                    cve-2019-15015, cve-2019-15017
instal                                                       cve-2010-5334, cve-2010-5335, cve-2019-0056, cve-2019-0071, cve-2019-10923, cve-2019-11120, cve-2019-11167, cve-2019-17383, cve-2019-17435, cve-2019-2114, cve-2019-2215, cve-2019-2905, cve-2019-2945, cve-2019-2965, cve-2019-2977, cve-2019-2988, cve-2019-2992, cve-2019-2996, cve-2019-2999, cve-2019-3024, cve-2019-3652
install/index.php                                            cve-2019-17607, cve-2019-17608, cve-2019-17609, cve-2019-17610, cve-2019-17611
instanc                                                      cve-2018-18065, cve-2018-18066, cve-2018-8006
instead                                                      cve-2018-12384, cve-2019-15900, cve-2019-17576, cve-2019-18216, cve-2019-6475
instructor                                                   cve-2019-18344
insuffici                                                    cve-2015-9474, cve-2015-9475, cve-2015-9476, cve-2015-9477, cve-2019-0056, cve-2019-11120, cve-2019-12636, cve-2019-12637, cve-2019-12638, cve-2019-12702, cve-2019-12703, cve-2019-12705, cve-2019-12718, cve-2019-15260, cve-2019-15261, cve-2019-15268, cve-2019-15269, cve-2019-15270, cve-2019-15273, cve-2019-15274, cve-2019-15275, cve-2019-15277, cve-2019-15280, cve-2019-15281, cve-2019-8237
integ                                                        cve-2002-2439, cve-2012-4025, cve-2015-0135, cve-2015-4645, cve-2017-14061, cve-2017-14062, cve-2019-13392, cve-2019-16905, cve-2019-17041, cve-2019-17042, cve-2019-17451, cve-2019-17498, cve-2019-17546, cve-2019-17583, cve-2019-2181, cve-2019-2187
integr                                                       cve-2018-3300, cve-2019-0054, cve-2019-0071, cve-2019-0379, cve-2019-10716, cve-2019-1166, cve-2019-1344, cve-2019-14808, cve-2019-15626, cve-2019-2734, cve-2019-2765, cve-2019-2872, cve-2019-2883, cve-2019-2886, cve-2019-2889, cve-2019-2890, cve-2019-2891, cve-2019-2895, cve-2019-2897, cve-2019-2901, cve-2019-2902, cve-2019-2903, cve-2019-2904, cve-2019-2906, cve-2019-2907, cve-2019-2909, cve-2019-2915, cve-2019-2925, cve-2019-2927, cve-2019-2929, cve-2019-2930, cve-2019-2931, cve-2019-2934, cve-2019-2936, cve-2019-2937, cve-2019-2940, cve-2019-2941, cve-2019-2942, cve-2019-2943, cve-2019-2944, cve-2019-2947, cve-2019-2952, cve-2019-2953, cve-2019-2954, cve-2019-2955, cve-2019-2958, cve-2019-2959, cve-2019-2961, cve-2019-2970, cve-2019-2971, cve-2019-2972, cve-2019-2975, cve-2019-2979, cve-2019-2985, cve-2019-2989, cve-2019-2990, cve-2019-2991, cve-2019-2994, cve-2019-2995, cve-2019-2996, cve-2019-2999, cve-2019-3000, cve-2019-3010, cve-2019-3014, cve-2019-3015, cve-2019-3017, cve-2019-3019, cve-2019-3020, cve-2019-3022, cve-2019-3023, cve-2019-3024, cve-2019-3025, cve-2019-3028, cve-2019-3765, cve-2019-9535, cve-2019-9745
integrations.json                                            cve-2019-10716
intel(r                                                      cve-2019-11120, cve-2019-11167, cve-2019-14569, cve-2019-14570
intelbra                                                     cve-2019-17600
intellig                                                     cve-2015-9501, cve-2019-2897, cve-2019-2900, cve-2019-2905, cve-2019-3012
intend                                                       cve-2018-20685, cve-2019-13545
intent                                                       cve-2019-17495
interact                                                     cve-2019-10215, cve-2019-10923, cve-2019-10936, cve-2019-13921, cve-2019-13929, cve-2019-17497, cve-2019-2110, cve-2019-2114, cve-2019-2173, cve-2019-2181, cve-2019-2183, cve-2019-2184, cve-2019-2185, cve-2019-2186, cve-2019-2187, cve-2019-2215, cve-2019-2872, cve-2019-2883, cve-2019-2886, cve-2019-2889, cve-2019-2899, cve-2019-2906, cve-2019-2915, cve-2019-2925, cve-2019-2927, cve-2019-2929, cve-2019-2930, cve-2019-2931, cve-2019-2933, cve-2019-2941, cve-2019-2942, cve-2019-2945, cve-2019-2952, cve-2019-2954, cve-2019-2955, cve-2019-2956, cve-2019-2959, cve-2019-2976, cve-2019-2979, cve-2019-2985, cve-2019-2990, cve-2019-2994, cve-2019-2995, cve-2019-2996, cve-2019-2999, cve-2019-3000, cve-2019-3008, cve-2019-3014, cve-2019-3019, cve-2019-3020, cve-2019-3023, cve-2019-3024
intercept                                                    cve-2019-9532, cve-2019-9534
interfac                                                     cve-2019-0047, cve-2019-0063, cve-2019-11509, cve-2019-12147, cve-2019-12148, cve-2019-12636, cve-2019-12637, cve-2019-12638, cve-2019-12702, cve-2019-12703, cve-2019-12704, cve-2019-12705, cve-2019-12708, cve-2019-12718, cve-2019-15240, cve-2019-15241, cve-2019-15242, cve-2019-15243, cve-2019-15244, cve-2019-15245, cve-2019-15246, cve-2019-15247, cve-2019-15248, cve-2019-15249, cve-2019-15250, cve-2019-15251, cve-2019-15252, cve-2019-15257, cve-2019-15258, cve-2019-15268, cve-2019-15269, cve-2019-15270, cve-2019-15280, cve-2019-15281, cve-2019-15282, cve-2019-16983, cve-2019-17499, cve-2019-17505, cve-2019-17506, cve-2019-17511, cve-2019-17512, cve-2019-17663, cve-2019-2942
interface/forms/eye_mag/js/eye_base.php                      cve-2019-16404
interface/forms/eye_mag/view.php                             cve-2019-16862, cve-2019-17409
interfer                                                     cve-2019-17426
interleav                                                    cve-2018-7185
intermediari                                                 cve-2019-10097
intern                                                       cve-2014-2304, cve-2018-3300, cve-2019-0061, cve-2019-12402, cve-2019-12415, cve-2019-15261, cve-2019-15277, cve-2019-16925, cve-2019-16926, cve-2019-2896
internet                                                     cve-2019-0056, cve-2019-1371, cve-2019-17070, cve-2019-17526, cve-2019-18209, cve-2019-2894, cve-2019-2933, cve-2019-2945, cve-2019-2949, cve-2019-2958, cve-2019-2962, cve-2019-2973, cve-2019-2975, cve-2019-2977, cve-2019-2978, cve-2019-2981, cve-2019-2983, cve-2019-2987, cve-2019-2988, cve-2019-2992, cve-2019-2996, cve-2019-2999
internetgatewaydevice.x_twsz-com_url_filter.blacklist.1.url  cve-2016-11015
interpret                                                    cve-2018-15909, cve-2019-17041, cve-2019-17042, cve-2019-17664, cve-2019-17669, cve-2019-2986
intervent                                                    cve-2019-0063, cve-2019-15258
into                                                         cve-2005-0758, cve-2017-18638, cve-2018-11790, cve-2019-10475, cve-2019-12148, cve-2019-12402, cve-2019-14510, cve-2019-14808, cve-2019-15265, cve-2019-15281, cve-2019-15847, cve-2019-16404, cve-2019-16521, cve-2019-17093, cve-2019-17118, cve-2019-17207, cve-2019-17672, cve-2019-18220, cve-2019-18280, cve-2019-3652, cve-2019-3689, cve-2019-3738, cve-2019-3765, cve-2019-4572, cve-2019-6475
intranet                                                     cve-2019-17511
intrins                                                      cve-2019-15847
introduc                                                     cve-2017-1002201
introduct                                                    cve-2019-17613
invalid                                                      cve-2017-14232, cve-2017-7320, cve-2019-11674, cve-2019-13392, cve-2019-13411, cve-2019-14858, cve-2019-15066, cve-2019-17041, cve-2019-17042, cve-2019-17362, cve-2019-17449, cve-2019-4409, cve-2019-6473, cve-2019-6474
invento                                                      cve-2015-9483
inventori                                                    cve-2019-2947
invoc                                                        cve-2019-14858
invoic                                                       cve-2015-9516, cve-2015-9518, cve-2019-16282
invoices/items/custom                                        cve-2019-16282
invoices/items/customers/quot                                cve-2019-16282
invoices/sal                                                 cve-2019-16330
invok                                                        cve-2019-14287, cve-2019-17574
involv                                                       cve-2015-4707, cve-2016-0304, cve-2019-12148, cve-2019-17668
io                                                           cve-2018-4277, cve-2019-10923, cve-2019-10936, cve-2019-14808
ios/process-general.c                                        cve-2019-17424
ip                                                           cve-2018-7185, cve-2019-0060, cve-2019-0069, cve-2019-13529, cve-2019-16866, cve-2019-18382
ipp                                                          cve-2019-6327
ipsec                                                        cve-2019-0060
ipv4                                                         cve-2019-0056, cve-2019-0066, cve-2019-16410
ipv6                                                         cve-2019-0056, cve-2019-0067, cve-2019-5535
ipython                                                      cve-2015-4707
iq                                                           cve-2019-0381, cve-2019-16530
irreproduc                                                   cve-2019-17514
irt                                                          cve-2019-10923
is                                                           cve-2010-5278, cve-2010-5334, cve-2010-5335, cve-2010-5336, cve-2010-5337, cve-2010-5338, cve-2010-5339, cve-2010-5340, cve-2012-4024, cve-2014-2304, cve-2015-1981, cve-2015-9505, cve-2015-9506, cve-2015-9507, cve-2015-9508, cve-2015-9509, cve-2015-9510, cve-2015-9511, cve-2015-9512, cve-2015-9513, cve-2015-9514, cve-2015-9515, cve-2015-9516, cve-2015-9517, cve-2015-9518, cve-2015-9519, cve-2015-9520, cve-2015-9521, cve-2015-9522, cve-2015-9523, cve-2015-9524, cve-2015-9525, cve-2015-9526, cve-2015-9527, cve-2015-9528, cve-2015-9529, cve-2015-9530, cve-2015-9531, cve-2015-9532, cve-2015-9533, cve-2015-9534, cve-2015-9535, cve-2015-9536, cve-2016-0304, cve-2016-10906, cve-2016-11014, cve-2016-6800, cve-2017-1002151, cve-2017-14948, cve-2017-18638, cve-2017-9052, cve-2018-1000878, cve-2018-1002204, cve-2018-1313, cve-2018-14659, cve-2018-19052, cve-2018-19518, cve-2018-20685, cve-2018-21027, cve-2018-2875, cve-2018-3300, cve-2018-8006, cve-2018-9062, cve-2019-0061, cve-2019-0063, cve-2019-0064, cve-2019-0065, cve-2019-0066, cve-2019-0071, cve-2019-0201, cve-2019-0212, cve-2019-0227, cve-2019-0379, cve-2019-1002101, cve-2019-10079, cve-2019-10215, cve-2019-10715, cve-2019-10752, cve-2019-10756, cve-2019-10923, cve-2019-11041, cve-2019-11042, cve-2019-11282, cve-2019-11526, cve-2019-11527, cve-2019-11528, cve-2019-1166, cve-2019-12147, cve-2019-12148, cve-2019-12636, cve-2019-12637, cve-2019-12638, cve-2019-12702, cve-2019-12703, cve-2019-12704, cve-2019-12705, cve-2019-12708, cve-2019-12718, cve-2019-12941, cve-2019-12944, cve-2019-13336, cve-2019-1334, cve-2019-1338, cve-2019-1339, cve-2019-13392, cve-2019-1340, cve-2019-13412, cve-2019-1342, cve-2019-1343, cve-2019-1346, cve-2019-1347, cve-2019-1358, cve-2019-1359, cve-2019-1362, cve-2019-1364, cve-2019-13921, cve-2019-13929, cve-2019-14510, cve-2019-14810, cve-2019-14858, cve-2019-14981, cve-2019-15017, cve-2019-15051, cve-2019-15065, cve-2019-15140, cve-2019-15240, cve-2019-15241, cve-2019-15242, cve-2019-15243, cve-2019-15244, cve-2019-15245, cve-2019-15246, cve-2019-15247, cve-2019-15248, cve-2019-15249, cve-2019-15250, cve-2019-15251, cve-2019-15252, cve-2019-15257, cve-2019-15258, cve-2019-15260, cve-2019-15261, cve-2019-15262, cve-2019-15264, cve-2019-15266, cve-2019-15270, cve-2019-15274, cve-2019-15275, cve-2019-15277, cve-2019-15280, cve-2019-15281, cve-2019-15282, cve-2019-15587, cve-2019-15627, cve-2019-15894, cve-2019-15954, cve-2019-15962, cve-2019-16097, cve-2019-16217, cve-2019-16410, cve-2019-16520, cve-2019-16521, cve-2019-16522, cve-2019-16523, cve-2019-16682, cve-2019-16905, cve-2019-16917, cve-2019-16925, cve-2019-16926, cve-2019-16966, cve-2019-16967, cve-2019-16968, cve-2019-16969, cve-2019-16970, cve-2019-16971, cve-2019-16972, cve-2019-16973, cve-2019-16974, cve-2019-16975, cve-2019-16976, cve-2019-16977, cve-2019-16978, cve-2019-16979, cve-2019-16981, cve-2019-16982, cve-2019-16984, cve-2019-16985, cve-2019-16986, cve-2019-16987, cve-2019-16988, cve-2019-16989, cve-2019-16991, cve-2019-17041, cve-2019-17042, cve-2019-17091, cve-2019-17093, cve-2019-17105, cve-2019-17107, cve-2019-17114, cve-2019-17115, cve-2019-17116, cve-2019-17120, cve-2019-17134, cve-2019-17223, cve-2019-17264, cve-2019-17267, cve-2019-17352, cve-2019-17359, cve-2019-17365, cve-2019-17367, cve-2019-17389, cve-2019-17393, cve-2019-17398, cve-2019-17402, cve-2019-17426, cve-2019-17432, cve-2019-17449, cve-2019-17451, cve-2019-17496, cve-2019-17497, cve-2019-17513, cve-2019-17514, cve-2019-17521, cve-2019-17526, cve-2019-17528, cve-2019-17529, cve-2019-17530, cve-2019-17531, cve-2019-17533, cve-2019-17539, cve-2019-17541, cve-2019-17545, cve-2019-17552, cve-2019-17553, cve-2019-17575, cve-2019-17592, cve-2019-17594, cve-2019-17595, cve-2019-17600, cve-2019-17601, cve-2019-17602, cve-2019-17606, cve-2019-17612, cve-2019-17624, cve-2019-17625, cve-2019-17662, cve-2019-17664, cve-2019-17665, cve-2019-17671, cve-2019-17672, cve-2019-17673, cve-2019-17674, cve-2019-18192, cve-2019-18202, cve-2019-18214, cve-2019-18216, cve-2019-18219, cve-2019-18220, cve-2019-18280, cve-2019-18344, cve-2019-18348, cve-2019-18370, cve-2019-18371, cve-2019-2110, cve-2019-2114, cve-2019-2173, cve-2019-2181, cve-2019-2183, cve-2019-2184, cve-2019-2185, cve-2019-2186, cve-2019-2187, cve-2019-2215, cve-2019-2765, cve-2019-2883, cve-2019-2884, cve-2019-2886, cve-2019-2889, cve-2019-2897, cve-2019-2901, cve-2019-2902, cve-2019-2903, cve-2019-2905, cve-2019-2906, cve-2019-2907, cve-2019-2909, cve-2019-2913, cve-2019-2915, cve-2019-2927, cve-2019-2929, cve-2019-2930, cve-2019-2931, cve-2019-2932, cve-2019-2934, cve-2019-2936, cve-2019-2937, cve-2019-2939, cve-2019-2941, cve-2019-2942, cve-2019-2943, cve-2019-2944, cve-2019-2947, cve-2019-2949, cve-2019-2951, cve-2019-2952, cve-2019-2953, cve-2019-2959, cve-2019-2961, cve-2019-2970, cve-2019-2971, cve-2019-2972, cve-2019-2976, cve-2019-2984, cve-2019-2985, cve-2019-2986, cve-2019-2989, cve-2019-2990, cve-2019-2994, cve-2019-2995, cve-2019-2996, cve-2019-2999, cve-2019-3000, cve-2019-3001, cve-2019-3002, cve-2019-3005, cve-2019-3008, cve-2019-3010, cve-2019-3014, cve-2019-3017, cve-2019-3019, cve-2019-3020, cve-2019-3021, cve-2019-3022, cve-2019-3023, cve-2019-3024, cve-2019-3025, cve-2019-3026, cve-2019-3028, cve-2019-3031, cve-2019-3689, cve-2019-4409, cve-2019-4523, cve-2019-6474, cve-2019-6475, cve-2019-9533, cve-2019-9745
isbidi                                                       cve-2017-14061
isc                                                          cve-2018-5732
ise                                                          cve-2019-12637, cve-2019-12638, cve-2019-15281, cve-2019-15282
isint                                                        cve-2019-17592
isn't                                                        cve-2019-18197
iso9660                                                      cve-2019-1000020
isol                                                         cve-2019-17544
issafefil                                                    cve-2019-17352
issu                                                         cve-2015-9493, cve-2016-10906, cve-2017-14632, cve-2017-9052, cve-2018-19052, cve-2018-4277, cve-2018-8006, cve-2019-0047, cve-2019-0051, cve-2019-0054, cve-2019-0055, cve-2019-0056, cve-2019-0057, cve-2019-0058, cve-2019-0059, cve-2019-0060, cve-2019-0061, cve-2019-0062, cve-2019-0063, cve-2019-0064, cve-2019-0065, cve-2019-0066, cve-2019-0067, cve-2019-0068, cve-2019-0069, cve-2019-0070, cve-2019-0071, cve-2019-0072, cve-2019-0073, cve-2019-0074, cve-2019-0201, cve-2019-0212, cve-2019-0227, cve-2019-1002101, cve-2019-10716, cve-2019-11526, cve-2019-11527, cve-2019-11528, cve-2019-12611, cve-2019-13411, cve-2019-14423, cve-2019-14424, cve-2019-14510, cve-2019-14657, cve-2019-14808, cve-2019-15051, cve-2019-15066, cve-2019-15282, cve-2019-15894, cve-2019-15900, cve-2019-15901, cve-2019-15954, cve-2019-16410, cve-2019-16746, cve-2019-16966, cve-2019-16967, cve-2019-16968, cve-2019-17041, cve-2019-17042, cve-2019-17043, cve-2019-17044, cve-2019-17093, cve-2019-17118, cve-2019-17134, cve-2019-17264, cve-2019-17267, cve-2019-17353, cve-2019-17382, cve-2019-17415, cve-2019-17432, cve-2019-17451, cve-2019-17497, cve-2019-17503, cve-2019-17504, cve-2019-17507, cve-2019-17513, cve-2019-17514, cve-2019-17521, cve-2019-17522, cve-2019-17526, cve-2019-17528, cve-2019-17529, cve-2019-17530, cve-2019-17531, cve-2019-17532, cve-2019-17535, cve-2019-17543, cve-2019-17552, cve-2019-17553, cve-2019-17574, cve-2019-17576, cve-2019-17577, cve-2019-17578, cve-2019-17601, cve-2019-17602, cve-2019-17612, cve-2019-18192, cve-2019-18220, cve-2019-18225, cve-2019-18348, cve-2019-18355, cve-2019-18356, cve-2019-18357, cve-2019-18370, cve-2019-18371, cve-2019-18382, cve-2019-18383, cve-2019-18384, cve-2019-18385, cve-2019-5527, cve-2019-5535
